Preschool_Name,Preschool_Latitude,Preschool_Longitude,Distance_To_User_km
E-Bridge Pre-School Pte Ltd (17 Circuit Road),1.3299019,103.8882024,14.98849442070902
E-Bridge Pre-School Pte Ltd (20 Sengkang Square),1.3906716,103.8967683,10.768676087914063
"E-Bridge Pre-School Pte Ltd (217, Compassvale Drive)",1.3899009,103.8945315,10.608936355597491
"E-Bridge Pre-School Pte Ltd (226A, Sumang Lane)",1.4026841,103.8932422,9.754243714843417
"E-Bridge Pre-School Pte Ltd (365B, Upper Serangoon Road)",1.3692293,103.8973844,12.283220588552606
"E-Bridge Pre-School Pte Ltd (417A, Fernvale Link)",1.391712,103.8807062,9.250195399593144
"E-Bridge Pre-School Pte Ltd (443, Bukit Batok West Ave 8)",1.3561594,103.7372722,13.035428194704611
"E-Bridge Pre-School Pte Ltd (573, Woodlands Drive 16)",1.4310171,103.7985269,2.343181505247784
"E-Bridge Pre-School Pte Ltd (592C, Montreal Link)",1.450795,103.8278399,1.5920217057336834
E-Bridge Pre-School Pte Ltd (92 Telok Blangah St 31),1.2762126,103.8077762,18.616215012107006
E-Bridge Pre-School Pte Ltd (Bukit Panjang Plaza),1.3799653,103.7643089,9.070470408594732
E-Bridge Pre-School Sengkang West,1.3942401,103.8695292,8.121278869781536
E-Bridge Pre-school@ Blk 615 Edgefield Plains,1.403755,103.909874,11.376887414501235
ELF Preschool,1.3359764,103.7678841,13.072489665207666
ELFA Chinese Preschool @ Pandan Valley,1.3198102,103.7791614,14.330904186447343
ELFA Preschool @ Hougang,1.3576577,103.8838783,12.194647473098856
ELFA Preschool @ Jurong,1.3338511,103.7398644,14.808786948300302
ELFA Preschool @ Tampines,1.3553724,103.9344296,16.44900787802098
Enfant Educare Pte Ltd,1.3086205,103.8627048,15.8827061346998
Eshkol Valley @ Northstar Pte Ltd,1.3777867,103.876294,9.945660965215213
Eshkol Valley @ Sengkang Pearl Pte Ltd,1.3864715,103.9000314,11.328998483287835
EtonHouse Bilingual Pre-School Pte Ltd,1.3454541,103.7729589,11.880744652086996
EtonHouse Pre-School Pte Ltd (Newton),1.3172429,103.8410471,14.31727686840394
EtonHouse Pre-School Pte Ltd (Robertson Walk),1.2921977,103.8414054,17.06262221768049
EtonHouse Pre-School Pte Ltd (Vanda),1.3312156,103.7982845,12.62675046424945
Faith Methodist Preschool,1.3026684,103.7974733,15.7827952282895
First Steps Preschool @ Depot Road,1.2813034,103.8101301,18.040146818776297
First Steps Preschool @ East Coast,1.3010749,103.906866,18.806733104534555
First Steps Preschool @ MacPherson,1.3289756,103.8793437,14.571515755622615
First Steps Preschool @ Sengkang,1.3875871,103.8704395,8.707673252199532
First Steps Preschool @ Yishun,1.4366681,103.8437831,3.228308689036419
Foo Hai Aspiration Child Care Centre @ Tampines,1.3542755,103.9330364,16.398310451514874
Forrest Preschool @ Sembawang,1.4372365,103.8276261,1.5103414988267914
Genius Hive Pre-school Pte Ltd,1.2806153,103.8492068,18.489234365080964
Gifted Learners Student Care @ Choa Chu Kang,1.3773758,103.7405419,11.112885968933371
Global Child Development Centre @ Tampines,1.4333658,103.7991149,2.1432357396278854
Global Mindz (Eden) Preschool Limited,1.3937953,103.9006965,10.958270593098149
Global Tots @ Eastgate Pte Ltd,1.304372,103.9033896,18.289953228052497
Glory Joy Child Development Centre,1.4521332,103.8214902,1.1698534552074449
Good Shepherd Preschool,1.3111581,103.9325893,19.638775441766256
Grace Child Development Centre,1.3895614,103.9002918,11.16489399314566
Greenery Childcare Centre,1.3758855,103.7376734,11.46200591831882
Greenland Childcare @ Fernvale Pte Ltd,1.3966535,103.8812068,8.964079166898127
Greenland Childcare @ Sumang Walk Pte Ltd,1.4031037,103.8954656,9.952627215234799
GREENLAND CHILDCARE @ YISHUN,1.4214136,103.8420767,3.834503933450272
GUG Preschool @ Thomson,1.31544,103.845569,14.620331608041356
Hampton Pre-School Tanjong Pagar,1.282525,103.8295,17.96138194637067
Happy Family Edu-Hub Pte Ltd,1.3629575,103.9519564,17.608260967941376
Happy Town Childcare Pte Ltd,1.3157905,103.8723352,15.535771594855433
Harmoni Preskool @ Buangkok Pte Ltd,1.3823089,103.8904235,10.747355902827183
Haven Schoolhouse @ Bedok North,1.332937,103.941196,18.603967286380243
Hope Childcare Centre,1.283491,103.8182299,17.789355580026214
House on The Hill Mount Sophia - Montessori Pre-School,1.3017837,103.8470942,16.1384746330763
House on the Hill Pasir Panjang - Montessori Pre-School,1.2914734,103.7714469,17.595882578163913
Ichiban Montessori Preschool Group,1.3290258,103.7521465,14.545032308666649
Ichiban Montessori Pte Ltd (Beach Road),1.2963486,103.8554747,16.94870375917538
iKids World Pte Ltd,1.3846468,103.8652007,8.557125738379721
Iman Childcare (Simei) Pte Ltd,1.344828,103.957033,19.173853089863446
Iman Kindergarten (Tenagaville) Pte Ltd,1.3322173,103.9073754,16.03715800756479
Iyad Perdaus Child Development (Hougang),1.3808355,103.8880478,10.650529062961768
Iyad Perdaus Child Development Centre (Choa Chu Kang Ave 4),1.3830773,103.7414722,10.623944107689555
Iyad Perdaus Child Development Centre (Jurong East),1.3416015,103.7430919,13.897085908102607
Jamiyah Child Care Centre,1.3708545,103.8451697,8.718342083661804
Joyous Learning,1.3338853,103.8487182,12.729112406338025
Joystar Preschool,1.3307931,103.9365069,18.377541140997938
Julia Gabriel Preschool Keppel Marina,1.2640047,103.8124338,19.95662644104236
Julia Gabriel Preschool Mountbatten,1.3080848,103.880837,16.710664465196917
Julia Gabriel Preschool Thomson,1.3330281,103.8389255,12.550634198145715
Junior Champs @ Kovan Pte Ltd,1.3592324,103.8854652,12.170055174424261
Junior Champs Preschool (18 Tai Seng),1.3362837,103.8888375,14.43551413794308
Junior Champs Preschool (Grantral Mall),1.3335017,103.8871113,14.586382039080123
Junior Champs Preschool (Hougang Green Shopping Mall),1.3792941,103.8878182,10.744262449180981
JustEdu Learning Centre (Bukit Gombak),1.358959,103.750278,11.870442719339682
Khalsa Kindergarten,1.31652,103.85713,14.851930171625053
