Preschool_Name,Distance_To_User_km,Average_Stars,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,fees_sc_nursery,fees_pr_nursery,curriculum_active_learning,curriculum_bilingual_curriculum,curriculum_child_directed,curriculum_chinese_curriculum,curriculum_early_years_development_framework,curriculum_english_curriculum,curriculum_ib_pyp,curriculum_inquiry_based,curriculum_integrated_curriculum,curriculum_montessori,curriculum_moe,curriculum_nurturing_early_learners_curriculum,curriculum_play_based_curriculum,curriculum_project_based,curriculum_reggio_emilia_approach,curriculum_spark_certified_curriculum,curriculum_thematic,curriculum_isteam,programme_aesthetics_&_creative_expression,programme_chinese,programme_digital_skills,programme_discovery_of_the_word,programme_english,programme_language_and_literacy,programme_math,programme_moral_education,programme_motor_skill_development,programme_music,programme_nature,programme_numeracy,programme_problem-solving_skills,programme_project_work,programme_science,programme_sensory_play,programme_social_&_emotional_development,programme_speech_and_drama,programme_sports,Cosine_Similarity,Euclidean_Distance,Manhattan_Distance
PCF Sparkletots Preschool @ Nee Soon East Blk 312 (CC),0.3168906505135181,1.0,,,,,,,0.23922757120099458,0.23513513513513506,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.755555350945709,3.2445786282322917,11.430379250431912
PCF Sparkletots Preschool @ Nee Soon Central Blk 671 (DS),0.3957141211536623,1.0,,,,,,,0.23922757120099458,0.23513513513513506,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7555176879091495,3.248036958931611,11.509202721072057
PCF Sparkletots Preschool @ Nee Soon Central Blk 646 (DS),0.34259640998419083,1.0,,,,,,,0.23922757120099458,0.23513513513513506,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7555642355930401,3.2454965063310044,11.456085009902585
PCF Sparkletots Preschool @ Marymount Blk 257 (CC),0.9804134742266813,1.0,,,,,,,0.23922757120099458,0.23513513513513506,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7494062148037276,3.3323058980549,12.093902074145076
PCF Sparkletots Preschool @ Limbang Blk 786 (EY),0.9211962434208737,0.625,,0.6,,,,0.6,0.23922757120099458,0.23513513513513506,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7579293869013304,3.279422118165614,11.7380181766726
PCF Sparkletots Preschool @ Kebun Baru Blk 260B (CC),0.8558287078270271,1.0,0.1,,,,,0.1,0.23922757120099458,0.23513513513513506,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7535341021164834,3.2947233587178757,11.96931730774542
PCF Sparkletots Preschool @ Kebun Baru Blk 109 (CC),0.854107436033849,1.0,0.2458333333333333,0.3374999999999999,,,,0.2916666666666666,0.23922757120099458,0.23513513513513506,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.762049221317585,3.2553329980546595,11.584262702618911
PCF Sparkletots Preschool @ Jalan Kayu Blk 987C (DS),0.9962917030260715,0.75,0.1556734006734006,0.1348588154269972,,,,0.1316666666666666,0.23922757120099458,0.23513513513513506,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7486394711967608,3.316879727398056,12.248928221524203
PCF Sparkletots Preschool @ Fernvale Blk 469B (EY),0.8732579431858317,0.75,,0.4666666666666667,,,,0.4666666666666667,0.23922757120099458,0.23513513513513506,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7604570671023838,3.2520882275126985,11.303413209770893
PCF Sparkletots Preschool @ Fernvale Blk 455 (CC),0.8483494514879723,0.9166666666666667,,,,,,,0.23922757120099458,0.23513513513513506,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7499796277048348,3.305477729427668,12.0451713847397
PCF Sparkletots Preschool @ Fernvale Blk 436D (EY),0.8847299540994625,0.75,0.0,0.6,,,,0.3,0.23922757120099458,0.23513513513513506,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7592842068189054,3.2614379169243044,11.612385220684523
PCF Sparkletots Preschool @ Fernvale Blk 416A (DS),0.9286164109763557,0.75,,,,,,,0.23922757120099458,0.23513513513513506,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7446585169442189,3.3301706273284593,12.292105010894751
PCF Sparkletots Preschool @ Chua Chu Kang Blk 19 (CC),1.0,1.0,,,,,,,0.23922757120099458,0.23513513513513506,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.749031723718456,3.3368658908209943,12.113488599918394
PCF Sparkletots Preschool @ Chua Chu Kang Blk 10 (KN),0.973397685598708,1.0,,,,,,,0.23922757120099458,0.23513513513513506,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7495378143450155,3.3306990321465486,12.086886285517103
PCF Sparkletots Preschool @ Chong Pang Blk 142 (CC),0.21841075956368278,1.0,,,,,,,0.23922757120099458,0.23513513513513506,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7553308696149423,3.2429459386932504,11.331899359482078
PCF Sparkletots Preschool @ Chong Pang Blk 115B (CC),0.17114769323567827,0.75,,,,,,,0.23922757120099458,0.23513513513513506,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7494897701248739,3.2528453988804213,11.620086211726376
PCF Sparkletots Preschool @ Chong Pang Blk 107 (KN),0.17996867631170974,0.75,,,,,,,0.23922757120099458,0.23513513513513506,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7495356033986099,3.2527414970259136,11.611265228650344
PCF Sparkletots Preschool @ Canberra Blk 468C (EY),0.0762746153223532,0.5,,,,,,,0.23922757120099458,0.23513513513513506,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7411791633553043,3.284145396707136,11.964959289639701
PCF Sparkletots Preschool @ Canberra Blk 413 (CC),0.09582832236911602,0.5,,,,,,,0.23922757120099458,0.23513513513513506,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7413374335174404,3.283384264863424,11.945405582592938
PCF Sparkletots Preschool @ Canberra Blk 337 (CC),0.030930372646877164,0.5,,,,,,,0.23922757120099458,0.23513513513513506,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7407654124277466,3.2863575040821975,12.010303532315177
PCF Sparkletots Preschool @ Canberra Blk 330 (DS),0.04645357217260092,0.25,,,,,,,0.23922757120099458,0.23513513513513506,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7312009418307406,3.3327476525138393,12.244780332789453
PCF Sparkletots Preschool @ Bukit Panjang Blk 412 (CC),0.8569973275217492,1.0,,,,,,,0.23922757120099458,0.23513513513513506,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7515226910601065,3.3060984731954486,11.970485927440144
PCF Sparkletots Preschool @ Bukit Panjang Blk 226 (EY),0.9009435572367466,1.0,,,,,,,0.23922757120099458,0.23513513513513506,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7508176654842148,3.3149274795954886,12.014432157155142
PCF Sparkletots Preschool @ Bukit Panjang Blk 111 (EY),0.8982945818021635,1.0,,0.6,,,,0.6,0.23922757120099458,0.23513513513513506,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7673731947954885,3.253015699954634,11.340116515053891
PCF Sparkletots Preschool @ Admiralty Blk 687B (DS),0.0912281527733898,0.8999999999999999,,0.3934606481481482,,,,0.3934606481481482,0.23922757120099458,0.23513513513513506,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.766055699197972,3.180395387949184,10.763084455892368
PCF Sparkletots Preschool @ Admiralty Blk 585 (CC),0.27382769612088315,0.6666666666666666,0.875,0.2916666666666667,,,,0.4375,0.23922757120099458,0.23513513513513506,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.748395477757543,3.3152836541475335,11.866482962705945
PCF Sparkletots Preschool @ Admiralty Blk 581 (DS),0.2611848732964158,0.9375,0.1939285714285714,0.4525,,,,0.22625,0.23922757120099458,0.23513513513513506,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7654324159612271,3.19079601219233,10.952352044643382
NurtureStars Pte Ltd (SAFRA Yishun Country Club),0.3560621587602519,0.7,0.7509523809523809,0.4842857142857142,,,,0.6176190476190476,0.15685588840968245,0.5300990990990992,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.5676653019301768,4.000404253833276,17.1280768816244
MY World Preschool Ltd (Yishun Palm Breeze),0.4047985354641129,0.0,,,,,,,0.23922757120099458,0.23513513513513506,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.6701410953030038,3.681457654197426,14.518287135382508
MY World Preschool Ltd (Yishun Fern Grove),0.4044025347979299,0.0,,,,,,,0.23922757120099458,0.23513513513513506,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.6701414134718581,3.6814371382534388,14.517891134716324
MY World Preschool Ltd (Sun Natura),0.04257127211446067,0.6666666666666666,,,,,,,0.23922757120099458,0.23513513513513506,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.6958105399306691,3.5576864731046927,13.831995966180926
MY World Preschool Ltd (Matilda Court),0.9596730268054654,0.0,,-0.6999999999999998,,,,,0.23922757120099458,0.23513513513513506,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.6425604539460077,3.9010228528536546,15.773161626723859
MY World Preschool Ltd (Bukit Panjang),0.8973113350442568,1.0,0.0,,,,,0.0,0.23922757120099458,0.23513513513513506,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.7018674416257151,3.6032993491575906,14.010799934962652
MY World Preschool Ltd (Anchorvale Parkview),0.9590661327056564,0.5,,,,,,,0.23922757120099458,0.23513513513513506,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.6868224412973268,3.649930285605467,14.57255473262405
MY World Preschool Ltd (Admiralty),0.163751593739506,0.5,,,,,,,0.23922757120099458,0.23513513513513506,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.691206340815127,3.5734003256569205,13.877482311222549
My First Skool (997 Buangkok Crescent),0.9824463932470142,0.25,,0.2794642857142857,,,,0.2794642857142857,0.23922757120099458,0.23513513513513506,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7527302848244269,3.2098317631440096,11.287006421736837
My First Skool (848 Woodlands St 82),0.26742335047379584,1.0,,0.91,,,,0.91,0.23922757120099458,0.23513513513513506,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7872377379881619,3.0777473543902203,10.329245283725523
My First Skool (796A Yishun Ring Road),0.3318388077352738,0.33333333333333326,,,,,,,0.23922757120099458,0.23513513513513506,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7523535662977929,3.158328390951741,11.111994074320336
My First Skool (785E Woodlands Rise),0.12569552859078953,0.33333333333333326,,,,,,,0.23922757120099458,0.23513513513513506,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7516600376200502,3.1573560800930767,11.082205043037932
My First Skool (742 Woodlands Circle),0.21864099885402863,0.33333333333333326,0.17375,-0.13125,,,,0.25,0.23922757120099458,0.23513513513513506,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7531745293002838,3.1559357352629,11.05379626543909
My First Skool (688C Woodlands Dr 75),0.0940067046816629,1.0,,,,,,,0.23922757120099458,0.23513513513513506,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7707596064936173,3.0872391569690785,10.447227200280391
My First Skool (684A Choa Chu Kang Crescent),0.8845683683919519,1.0,,0.3388888888888888,,,,0.3388888888888888,0.23922757120099458,0.23513513513513506,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7787804944963044,3.092234601569828,10.320279190532569
My First Skool (678 Woodlands Ave 6),0.16279297473236395,1.0,,,,,,,0.23922757120099458,0.23513513513513506,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7712135696605898,3.0853341634828797,10.37844093022969
My First Skool (654 Senja Road),0.8466369060810346,0.921875,0.2787301587301588,0.3333181648727867,,,,0.3284442357529092,0.23922757120099458,0.23513513513513506,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7765108355048708,3.098473767235389,10.655218264103892
My First Skool (612 Yishun St 61),0.3385004836800358,0.5357142857142857,0.0,0.2599090909090909,,,,0.357375,0.23922757120099458,0.23513513513513506,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7713970775431896,3.060288497088733,10.298990706975054
My First Skool (604 Sembawang Road),0.10743431752481084,0.75,,,,,,,0.23922757120099458,0.23513513513513506,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7654169786923182,3.0968543533767394,10.683799587437244
My First Skool (602 Choa Chu Kang St 62),0.9414292248104026,0.75,,,,,,,0.23922757120099458,0.23513513513513506,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.760064055836106,3.1793893018552826,11.304917824728797
My First Skool (601 Ang Mo Kio Ave 5),0.7286842908086667,0.75,,,,,,,0.23922757120099458,0.23513513513513506,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7635498655340504,3.137548213141449,11.092172890727062
My First Skool (6 Segar Road),0.7929199669074583,0.9476744186046511,0.4682862084385522,0.3681264527882831,,,,0.4208421136568458,0.23922757120099458,0.23513513513513506,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7770396631280327,3.1061689563011425,10.638051790214625
My First Skool (571 Ang Mo Kio Ave 3),0.9305274412831049,1.0,,-0.0902777777777777,,,,-0.0902777777777777,0.23922757120099458,0.23513513513513506,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7613187160397894,3.196176139522725,11.224571596757055
My First Skool (541 Ang Mo Kio Ave 10),0.8928853262457314,0.9411764705882353,,,,,,,0.23922757120099458,0.23513513513513506,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7653807126619208,3.159303117075293,11.065197455575891
My First Skool (51 Fernvale Link),0.8895119441090888,0.8706896551724137,0.2409918091168091,0.2777309067972283,,,,0.3154185919453733,0.23922757120099458,0.23513513513513506,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7740883976398442,3.109581757843136,10.780153199229277
My First Skool (509B Yishun Ave 4),0.42809013818556724,1.0,,,,,,,0.23922757120099458,0.23513513513513506,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.771490428510277,3.092340035965582,10.541578738103961
My First Skool (507A Wellington Circle),0.14039326927037554,1.0,,,,,,,0.23922757120099458,0.23513513513513506,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7710830828995199,3.085786283370016,10.40084063569168
My First Skool (50 Sengkang West Way),0.8596955175966435,1.0,,,,,,,0.23922757120099458,0.23513513513513506,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.767072492009361,3.151787578490176,10.973184117515038
