Preschool_Name,Distance_To_User_km,Average_Stars,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,fees_sc_nursery,fees_pr_nursery,curriculum_active_learning,curriculum_bilingual_curriculum,curriculum_child_directed,curriculum_chinese_curriculum,curriculum_early_years_development_framework,curriculum_english_curriculum,curriculum_ib_pyp,curriculum_inquiry_based,curriculum_integrated_curriculum,curriculum_montessori,curriculum_moe,curriculum_nurturing_early_learners_curriculum,curriculum_play_based_curriculum,curriculum_project_based,curriculum_reggio_emilia_approach,curriculum_spark_certified_curriculum,curriculum_thematic,curriculum_isteam,programme_aesthetics_&_creative_expression,programme_chinese,programme_digital_skills,programme_discovery_of_the_word,programme_english,programme_language_and_literacy,programme_math,programme_moral_education,programme_motor_skill_development,programme_music,programme_nature,programme_numeracy,programme_problem-solving_skills,programme_project_work,programme_science,programme_sensory_play,programme_social_&_emotional_development,programme_speech_and_drama,programme_sports,Cosine_Similarity,Euclidean_Distance,Manhattan_Distance
Skool4Kidz Centre (Sembawang Sunbreeze),0.011808318342184161,0.33333333333333326,0.0,-0.3429687499999999,,,,0.0,0.0,0.16216216216216217,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.677374035888872,3.819503637429034,15.705315601514558
Skool4Kidz Centre (Sembawang Canberra East Crown),0.20567701150755419,0.0,,-1.0,,,,,0.0,0.16216216216216217,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.6389375107513886,4.0743889046811,16.501811491682524
Skool4Kidz Centre (Marsiling Drive),0.4884375597984771,0.0,,-0.15,,,,,0.0,0.16216216216216217,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.6702262142153567,3.860441080113944,15.918180757944892
Skool4Kidz Centre (Hougang Buangkok Square),0.9950748895996793,1.0,,,,,,,0.0,0.16216216216216217,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.7036876817784131,3.7782299268227337,15.274818087746095
Skool4Kidz Campus @ Yishun,0.39670592203030913,0.6071428571428571,0.4177104377104377,0.4303030303030303,,,,0.424006734006734,0.0,0.16216216216216217,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.7099053770048279,3.6867929217094053,14.632706936434541
Skool4Kidz Campus @ Sengkang Riverside Park,0.9472135756140667,0.38095238095238104,0.2051369992441421,-0.1227290764790764,0.14375,,,0.0481557067271353,0.0,0.16216216216216217,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.683659101764395,3.838706579475609,16.269464761804187
PPS Yishun,0.40662417650227695,0.9375,0.5117857142857143,0.399375,,,,0.4368452380952381,0.3806581963709834,0.05189189189189192,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.8024997028525768,2.7049269136341825,7.973864744558275
PCF Sparkletots Preschool @ Zhenghua Blk 632A (CC),0.9131821138407155,1.0,,,,,,,0.23922757120099458,0.23513513513513506,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7506116886103661,3.317485718064455,12.02667071375911
PCF Sparkletots Preschool @ Zhenghua Blk 528 (KN),0.8571790501570205,0.8125,,,,,,,0.23922757120099458,0.23513513513513506,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7474465239006995,3.3114463815846227,12.158167650075415
PCF Sparkletots Preschool @ Woodlands Blk 853 (CC),0.25436243813661535,1.0,,,,,,,0.23922757120099458,0.23513513513513506,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7554478911321914,3.2431955213355015,11.36785103805501
PCF Sparkletots Preschool @ Woodlands Blk 824 (CC),0.3032366164456887,1.0,,,,,,,0.23922757120099458,0.23513513513513506,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.755542278926147,3.2441738062131797,11.416725216364084
PCF Sparkletots Preschool @ Woodlands Blk 801 (CC),0.3261032715704752,1.0,0.0,0.6,0.6,,,0.0,0.23922757120099458,0.23513513513513506,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7583281361786348,3.269216034269312,11.703758538155537
