Preschool_Name,Overall_Sentiment,Communication_Factors,Cost_Factors,Educational_Factors,Facility_Factors,Safety_and_Health_Factors,Staff_and_Management_Factors
Kinderland Preschool (Pandan Valley),0.35833333333333334,,,0.35833333333333334,,,
Kinderland Preschool (Woodlands Civic Centre),-0.3666666666666667,,,,-0.3666666666666667,,
Kinderland Preschool @ Sengkang,0.25,,,,0.25,,
Kinderland Preschool @ Sunshine Place,0.5833333333333334,,,,,0.5833333333333334,
Kinderland Preschool @ Woodlands Mart,0.0,,,0.0,,,
Learning Vision @ Work Pte Ltd (NTU),0.5,0.5,,,,,
Little Beez Playskool,0.1,,,,,,0.1
Little Footprints Preschool (Ang Mo Kio),-0.496875,-0.496875,,,,,
Little Footprints Preschool (Boon Keng),0.1911210317460317,,0.061904761904761886,-0.011458333333333329,,,0.5229166666666666
Little Footprints Preschool (Keat Hong 805),0.65,,,,0.65,,
Little Footprints Preschool (Lakeside),0.5,,,,,,0.5
Little Footprints Preschool (Punggol Beach),0.15178571428571427,0.15178571428571427,,,,,
Little Footprints Preschool (Sengkang 260),0.5420454545454545,,,0.5420454545454545,,,
Little Footprints Preschool (Woodlands 877),0.6,0.6,,,,,
Little Footprints Preschool Group Pte Ltd (255 Serangoon Central Drive),0.4166666666666667,0.4166666666666667,,,,,
Little Footprints Preschool Pte Ltd (Jurong East 248),0.18680555555555556,,,0.12916666666666668,,0.24444444444444446,
Little Footprints Preschool Pte Ltd (Jurong West 721),0.0,,,,,0.0,
Little Footprints Preschool Pte Ltd (Punggol 168),0.3833333333333333,,,,0.3,,0.4666666666666666
Little Footprints Preschool Pte Ltd (Sengkang 201),0.31737373737373736,,,0.31737373737373736,,,
Little Footprints Preschool Pte Ltd (Sengkang 205),0.0,0.0,,,,,
Little Footprints Preschool Pte Ltd (Tampines 372),0.5047767857142857,0.278125,,0.7314285714285714,,,
Little Footprints Preschool Pte Ltd (Teban Gardens),0.6243622448979592,0.25,,,,0.75,0.7487244897959184
Little Footprints Preschool Pte Ltd (Yishun 366),0.23045454545454547,,,,,0.23045454545454547,
Little Footprints Preschool Pte Ltd (Yishun 388),0.21666666666666667,,,,,,0.21666666666666667
Little Green House @ Aljunied,0.7,,,,,,0.7
Little Green House @ Bukit Batok,0.15759882478632478,0.17457264957264956,,,,,0.140625
Little Green House @ Serangoon 540,0.3413310185185185,0.5651041666666666,,,,0.9099999999999999,-0.45111111111111113
Little Green House @ Tampines,0.175,,,0.175,,,
Little Greenhouse @ Woodlands Pte Ltd,0.37222222222222223,,,,0.37222222222222223,,
Little Mighty Me Pte Ltd,0.4666666666666666,,,,,0.4666666666666666,
Little Petals Preschool Pte Ltd,-0.3626984126984127,,,,-0.3626984126984127,,
Little Seeds Preschool (Praiseland),0.04999999999999999,,,0.04999999999999999,,,
Little ShepherdsÃÂ Schoolhouse @ Church of the Holy Trinity,0.024999999999999994,0.024999999999999994,,,,,
Living Sanctuary Kindergarten,0.0,,,,,,
MOE Kindergarten @ Oasis,0.03333333333333333,,,,,,0.03333333333333333
MY World Preschool Ltd (Pasir Ris),0.0,0.0,,,,,
MY World Preschool Ltd (Simei),0.1,,,,,,
Macpherson Sheng Hong Childcare Centre,0.4552083333333333,,,0.5,,0.41041666666666665,
MapleBear Gracefields Pte Ltd (One Tree Hill),0.7205729166666667,0.7205729166666667,,,,,
Marine Parade - Aspiration Child Care Centre,0.16944444444444443,,,,,,0.16944444444444443
MindChamps Chinese PreSchool @ Cecil Street,0.11685267857142856,,,,0.1808035714285714,,-0.075
MindChamps Chinese PreSchool @ Tampines Central,0.3614510489510489,,,,,0.3614510489510489,
MindChamps Chinese PreSchool @ Thomson,0.16599891391963484,0.1942081665201966,,0.13778966131907308,,,
MindChamps Global HQ,0.33749999999999997,,,,0.7,-0.025,
MindChamps Performing Arts PreSchool @ Changi Business Park,0.1202020202020202,0.0,,0.2404040404040404,,,
MindChamps Performing Arts PreSchool @ Marina Square,0.49166666666666664,0.4810416666666667,,0.4876587301587301,0.675,,0.4392857142857143
MindChamps PreSchool @ Adda Heights,0.0,0.0,,,,,
MindChamps PreSchool @ Bedok,0.30476190476190484,,,0.30476190476190484,,,
MindChamps PreSchool @ Bishan,0.12050715488215487,0.14890151515151515,,-0.07457070707070707,,,
MindChamps PreSchool @ Boon Keng,0.7021666666666666,0.75,,0.6569444444444444,,,0.79
MindChamps PreSchool @ Buangkok (Serangoon North),0.4767871840094063,0.6866666666666666,,0.0,0.26785714285714285,0.7916666666666667,0.39935185185185185
MindChamps PreSchool @ Changi Airport Terminal 3,0.4340451388888889,0.6520833333333333,,0.4201666666666667,0.24444444444444446,,0.47500000000000003
MindChamps PreSchool @ City Square Mall,0.272241341991342,,,0.2527083333333333,0.3291666666666667,0.19745670995670994,
MindChamps PreSchool @ East Coast,0.37480967078189303,0.4648148148148148,,0.4138888888888889,0.22875,,
MindChamps PreSchool @ Holland Village,0.6005555555555555,,,0.7280555555555556,0.45,0.5166666666666667,0.58
MindChamps PreSchool @ JTC Summit,-0.14166666666666666,-0.14166666666666666,,,,,
MindChamps PreSchool @ Junction 10,0.3405555555555555,0.5416666666666666,,0.45999999999999996,0.15833333333333335,,-0.2
MindChamps PreSchool @ Jurong West,0.46409090909090905,0.725,,0.2672727272727273,,,0.39999999999999997
MindChamps PreSchool @ Nordcom II,0.23047288359788362,,,0.1914186507936508,0.3833333333333333,,0.11666666666666668
MindChamps PreSchool @ One Raffles Place,0.4624999999999999,,,0.4624999999999999,,,
MindChamps PreSchool @ Paragon,0.5212009803921569,0.28125,,0.71875,,0.44999999999999996,0.43725490196078426
MindChamps PreSchool @ Pasir Ris,0.3561243553257442,0.33875,,0.38916450216450216,0.39444444444444443,0.28098765432098766,0.29930555555555555
MindChamps PreSchool @ Punggol,0.3596024322899323,0.44823006854256847,,0.40665824915824916,0.3739166666666667,-0.13333333333333333,
MindChamps PreSchool @ Raffles Town Club,0.75,,,1.0,0.5,,
MindChamps PreSchool @ Sengkang,0.3033008658008658,,,,,,0.3033008658008658
MindChamps PreSchool @ Serangoon,0.6501832386363636,,,0.6145474837662338,,0.65,0.775
MindChamps PreSchool @ Straits View,0.8,,,,0.8,,
MindChamps PreSchool @ Tampines Point,0.425,0.5,,,0.35,,
MindChamps PreSchool @ Tanglin,0.3394607843137255,0.3394607843137255,,,,,
MindChamps PreSchool @ The Brooks II,0.23268021170006464,0.27499999999999997,,,0.30968754223717465,,0.134512987012987
MindChamps PreSchool @ Toa Payoh,0.3896251145959447,0.2898248620288094,,0.5163,0.42444011544011545,0.44699999999999995,0.2908940972222222
MindChamps PreSchool @ Woodlands,0.5162138506115828,0.33999999999999997,,0.7041666666666666,0.24385964912280703,0.31124999999999997,0.5610505778849274
MindChamps PreSchool @ Yio Chu Kang,0.8,,,0.8,,,
MindChamps PreSchool @ Yishun,0.2091477272727273,0.2091477272727273,,,,,
MindChamps PreSchool @ Zhongshan Park,0.664,1.0,,,0.76,0.3,0.5
MindChamps Reading & Writing Programme @ Westgate,-0.03166666666666665,,,0.1166666666666667,,,-0.18
MindChamps Reading @ Punggol Northshore,0.6991666666666667,0.75,,0.715,,,0.585
MindSpace @ Central Plaza (Tiong Bahru) | After School Student Care for P1-P5 | MindChamps Enrichment & PSLE for P1-P6,0.2488020833333333,,,,,,0.2488020833333333
MindSpace @ Midview City (Bishan) | After School Student Care for P1-P5 | Powered By MindChamps,0.19581207482993196,0.1375,,0.27392113095238096,0.0,,
MindSpace @ Tai Seng (Grantral Mall) | After School Student Care for P1-P5 | MindChamps Enrichment for P1-P5,0.3048724489795918,,,0.11333333333333334,0.4029166666666667,,0.367202380952381
Mulberry Learning Centre @ Tanjong Pagar Pte Ltd,0.27001133786848075,,,,0.3111111111111111,,
My First Skool (10 Jurong West),0.0,,,0.0,,,
My First Skool (192 Toa Payoh Lor 4),0.23020833333333335,,,,0.375,0.08541666666666668,
My First Skool (203D Compassvale Road),0.14444444444444446,,,,0.14444444444444446,,
My First Skool (219 Toa Payoh Lor 8),0.24500000000000002,,,,,,0.24500000000000002
My First Skool (260 Bukit Batok East Ave 4),0.40606060606060607,0.40606060606060607,,,,,
My First Skool (308C Anchorvale Rd),0.3875,,,0.3875,,,
My First Skool (333 Kang Ching Road),0.7,,,,,,0.7
My First Skool (341 Tampines St 33),0.2,,,,0.2,,
My First Skool (375 Clementi Ave 4),0.515,0.515,,,,,
My First Skool (419 Bedok North St 1),0.0,,,,,,0.0
My First Skool (487 Pasir Ris Dr 4),0.0,0.0,,,,,
My First Skool (487C Tampines St 45),0.7,,,,0.7,,
My First Skool (505 Yung An Rd),0.015625,,,,,,0.015625
My First Skool (51 Fernvale Link),0.26497863247863246,0.4011111111111111,,,0.12884615384615383,,
My First Skool (528 Hougang Ave 6),0.275,,,0.3,0.25,,
My First Skool (54 Chin Swee Road),0.17375000000000002,,,,,,0.17375000000000002
My First Skool (6 Segar Road),0.4,,,,0.4,,
My First Skool (637 Pasir Ris Dr 1),0.4675324675324675,0.4675324675324675,,,,,
My First Skool (66 Kallang Bahru Road),0.7,,,,0.7,,
My First Skool at Blk 153 Rivervale Crescent,0.405,,,,,0.405,
My First Skool at Blk 490D Choa Chu Kang (New Centre Opening Soon),0.0,0.0,,,,,
My Learning Haven (Suntec),0.20929487179487177,,,,,,0.20929487179487177
My Little Kingdom @ West Coast,0.2899242424242424,,,0.2899242424242424,,,
Nobleland Arts N Learning Place @ Waterway Pte Ltd,0.2875,,,,,,0.2875
NurtureStars Pte Ltd (SAFRA Jurong),0.2777777777777778,,,,,,
Nurtured Nest,0.43552272727272734,,,,,,
Odyssey The Global Preschool - Dempsey,0.79625,,,,0.79625,,
Odyssey The Global Preschool Pte Ltd (Fourth Ave),0.7000000000000001,,,,0.7000000000000001,,
Odyssey The Global Preschool Pte Ltd (Lloyd Road),0.22916666666666666,,,,0.22916666666666666,,
Odyssey The Global Preschool Pte Ltd (Loyang Besar),0.04250000000000009,-0.9099999999999998,,,1.0,,0.0375
Odyssey The Global Preschool Pte Ltd (Wilkinson),0.4169642857142857,,,0.4339285714285714,,0.39999999999999997,
PCF Sparkletots @ Hong Kah North Blk 446,-0.175,,,-0.175,,,
PCF Sparkletots @ Hong Kah North Blk 447,0.6,0.6,,,,,
PCF Sparkletots @ Zhenghua Blk 550B,0.2,,,0.2,,,
PCF Sparkletots Preschool @ Bedok Reservoir-Punggol Blk 414 (DS),0.15,,,0.15,,,
PCF Sparkletots Preschool @ Bukit Timah Blk 12 (CC),-0.075,,,,,,-0.075
PCF Sparkletots Preschool @ Cashew Blk 183 (CC),0.46875,,,0.46875,,,
PCF Sparkletots Preschool @ Changi-Simei Blk 119 (KN),0.1,,,,0.1,,
PCF Sparkletots Preschool @ Changi-Simei Blk 131 (KN),0.13636363636363635,,,,0.13636363636363635,,
PCF Sparkletots Preschool @ Clementi Blk 330 (DS),0.05000000000000001,0.05000000000000001,,,,,
PCF Sparkletots Preschool @ Eunos Blk 620 (CC),0.47083333333333327,0.47083333333333327,,,,,
PCF Sparkletots Preschool @ Kebun Baru Blk 109 (CC),0.2,,,,,,0.2
PCF Sparkletots Preschool @ Nee Soon Link Blk 461 (EY),0.0,0.0,,,,,
PCF Sparkletots Preschool @ Pioneer Blk 661B (CC),0.7,,,,0.7,,
PCF Sparkletots Preschool @ Punggol West Blk 271A (KN),0.06822222222222223,,,0.06822222222222223,,,
PCF Sparkletots Preschool @ Sengkang Central Blk 208 (CC),0.0,,,0.0,,,
PCF Sparkletots Preschool @ Sengkang North Blk 206A (EY),0.3183333333333333,,,,0.3183333333333333,,
PCF Sparkletots Preschool @ Teck Ghee Blk 415 (CC),-0.018518518518518517,-0.018518518518518517,,,,,
PCF Sparkletots Preschool @ Telok Blangah Blk 44 (CC),0.12333333333333331,0.0,,,0.7,,-0.33
PCF Sparkletots Preschool @ Telok Blangah Blk 78A (DS),0.7,0.7,,,,,
PCF Sparkletots Preschool @ Woodlands Blk 801 (CC),0.6,,,,0.6,,
PCF Sparkletots Preschool @ Zhenghua Blk 455A (KN),0.1,0.1,,,,,
PCF Whampoa Education Centre,0.0,,,,0.0,,
PPS Yishun,0.5117857142857143,,,0.5117857142857143,,,
Picket Fence @ Tampines Pte Ltd,-0.2837878787878788,,,-0.185,,,-0.3825757575757576
PlayFACTO School @ Aljunied,0.16093749999999998,,,0.1201388888888889,,,0.28333333333333327
Pre-School By-The-Park (Dunearn) Pte Ltd,0.2375,,,,,0.2375,
Raffles Kidz @ Bukit Panjang Ã¢ÂÂ Best Childcare Centre And Preschool,0.35468223905723906,,,0.41087962962962965,0.2984848484848485,,
Raffles Kidz @ Punggol Ã¢ÂÂ Best Childcare Centre and Preschool,0.21427083333333335,,0.3666666666666667,0.061875,,,
Raffles Kidz @ Yio Chu Kang,0.27792207792207796,,,,0.27792207792207796,,
Raffles Montessori (Aljunied) Preschool,-0.09999999999999992,,,,-0.09999999999999992,,
Rain Tree Montessori Schoolhouse @ Bedok,0.3676470588235294,,,,0.3676470588235294,,
Rainbow Cove @ Alexandra,0.09583333333333334,,,,0.09583333333333334,,
Safari House Preschool Bt Batok,-0.14015151515151517,-0.14015151515151517,,,,,
Safari House Preschool Thomson,-0.7375,,,-0.7375,,,
Safari House Preschool Woodlands,0.15333333333333335,,,0.15333333333333335,,,
Seventh-day Adventist Conference (Singapore) - Adventist Schoolhouse,0.23809523809523808,,,,,,0.23809523809523808
Shalom Kindergarten,0.011904761904761902,,,,0.011904761904761902,,
Shaws CDLC @ Braddell Heights Pte Ltd,0.8333333333333334,,,0.8333333333333334,,,
Singapore Hokkien Huay Kuan Pre-School,0.65,,,,0.65,,
Skool4Kidz Campus @ Fernvale,0.2833333333333333,,,,0.0,,0.5666666666666667
Skool4Kidz Campus @ Sengkang Riverside Park,0.20498181216931216,,,-0.175,0.19746362433862436,,
Skool4Kidz Campus @ Yishun,0.4811111111111111,,,,0.4811111111111111,,
Skool4Kidz Centre (Sembawang Sunbreeze),-0.5487499999999998,,,,,-0.5487499999999998,
Skool4Kidz Preschool @ Sembawang Canberra East Creek,-0.14166666666666666,,,,,,-0.14166666666666666
Small Wonder @ Jurong East,0.0,0.0,,,,,
Small Wonder @ Nee Soon,-0.09861111111111111,,,,-0.09861111111111111,,
Small Wonder Preschool (Nordcom II),0.2414351851851852,0.28703703703703703,,,0.19583333333333333,,
Small Wonder Preschool (Serangoon),-0.09903388278388278,,0.1185989010989011,,,-0.31666666666666665,
Small Wonder Preschool Taman Jurong,0.12222222222222223,,,,0.12222222222222223,,
Smiling Star Student Care Centre @ Choa Chu Kang,0.7,,,0.7,,,
Spring Brainy Kidz (Bukit Batok) Pte Ltd,0.35,,,0.35,,,
Star Learners @ CCK Sports Centre Pte Ltd,0.0,,,,,,0.0
Star Learners @ Gambas Pte Ltd,0.05902777777777779,,,,0.05902777777777779,,
Star Learners @ Jurong East Pte Ltd,0.5683333333333334,0.5683333333333334,,,,,
Star Learners @ Sengkang Sports Centre | Preschool & Childcare,0.25043943576552263,0.25043943576552263,,,,,
Star Learners @ Telok Kurau | Preschool & Childcare,0.0,0.0,,,,,
Star Learners @ Upper Bukit Timah | Preschool & Childcare,0.3875,,,,0.3875,,
Sunflower Baby House & Preschool,0.365,,,0.46333333333333326,,,0.26666666666666666
Sunflower Preschool @ Clementi,0.15625,,,,,,
Sunflower Preschool @ NSE,0.22499999999999998,0.22499999999999998,,,,,
Sunflower Preschool @ Sembawang Pte Ltd,0.25,0.25,,,,,
Sunshine Kids Care Centre @ Punggol Pte Ltd,0.1744047619047619,,,0.1744047619047619,,,
Super Talent Childcare Ltd (Membina),0.0,,,0.0,,,
"SuperGenius Preschool @ Bedok, Heartbeat@Bedok",0.3230272108843537,,,0.3527777777777778,,,
Superland Pre-school (Bukit Timah),0.16577380952380955,,,0.16577380952380955,,,
Swallows and Amazons Kindergarten,0.32766666666666666,,,0.32766666666666666,,,
The Little Skool-House International Pte Ltd (At-Delta-House),0.25833333333333336,,,0.9,-0.3833333333333333,,
The Little Skool-House International Pte Ltd (At-Mountbatten-Square),0.16384803921568628,0.16384803921568628,,,,,
The Orange Academy (Tampines) Pte Ltd,0.0,,,0.0,,,
The Orange Tree Preschool (Choa Chu Kang),0.1859953703703704,,,0.05324074074074073,,,0.31875000000000003
The Schoolhouse by Busy Bees (Aroozoo),0.285,,,0.285,,,
The Schoolhouse by Busy Bees (Gentle Road),0.26354194115063684,,,-0.15937417654808958,,0.4,0.55
The Schoolhouse by Busy Bees (Katong),0.0,,,0.0,,,
The Schoolhouse by Busy Bees (Ridgewood),0.2989583333333333,0.2989583333333333,,,,,
The Schoolhouse by Busy Bees (West Coast),0.5856250000000001,0.42125,,0.5,,,1.0
The Word Learning Centre,-0.025438596491228073,,,,-0.025438596491228073,,
Tinkerland Childcare Centre,0.2616666666666667,0.2616666666666667,,,,,
Twinklekidz Academy Pte Ltd,0.08571428571428573,,,,0.08571428571428573,,
Twinklekidz International Schoolhouse Pte Ltd,-0.27321428571428574,-0.27321428571428574,,,,,
YWCA Bishan Child Development Centre,0.27999999999999997,,,,0.27999999999999997,,
YWCA Marine Drive Child Development Centre,0.4877139136904762,0.36428571428571427,,,,0.5794270833333334,0.5035714285714286
YWCA Pasir Ris Child Development Centre,0.1375,,,,,,0.1375
YWCA Preschool @ Bukit Gombak,0.5564285714285715,,,,0.5564285714285715,,
